vehicle_id,stop_time,dep_time,arr_time,drive_time,occupancy
176,600,189970,195657,5687,0
120,600,192312,195688,3376,1
87,600,194610,195707,1097,0
92,600,184160,195730,11570,1
143,600,187980,195876,7896,1
133,600,188041,195886,7845,1
60,600,192870,196027,3157,0
199,600,189797,196090,6293,1
185,600,189909,196091,6182,1
107,600,192133,196322,4189,1
160,600,182019,196330,14311,1
23,600,191129,196353,5224,1
26,600,180999,196382,15383,1
58,600,193181,196395,3214,1
37,600,193840,196433,2593,0
96,600,183669,196726,13057,1
190,600,193406,196788,3382,1
12,600,193050,196808,3758,0
124,600,193770,196860,3090,0
160,87,196417,196902,485,1
69,600,194608,196942,2334,1
53,600,192970,197057,4087,1
106,600,192155,197071,4916,0
71,600,194660,197204,2544,0
28,600,194810,197251,2441,2
95,600,193410,197323,3913,0
90,600,194110,197350,3240,0
183,600,190730,197354,6624,0
118,600,195459,197440,1981,0
2,600,193980,197447,3467,0
77,600,195520,197505,1985,0
176,600,196257,197531,1274,1
40,600,192880,197540,4660,0
161,600,193768,197576,3808,1
153,600,195760,197590,1830,0
23,600,197610,197610,0,0
79,600,191752,197656,5904,1
1,600,193600,197843,4243,0
126,600,194860,197884,3024,0
197,600,192780,197887,5107,0
186,600,181065,197906,16841,1
63,600,195030,197936,2906,0
162,600,195880,197953,2073,0
188,600,193580,197960,4380,0
70,600,189930,198024,8094,1
20,600,196450,198068,1618,0
187,600,198160,198160,0,0
14,600,195603,198227,2624,1
31,600,195410,198254,2844,0
168,600,193400,198304,4904,1
152,600,195110,198785,3675,1
86,600,195442,198833,3391,2
103,600,194524,198847,4323,0
30,600,194690,198865,4175,0
195,600,194567,198896,4329,1
75,600,197010,198933,1923,0
192,600,194720,198978,4258,1
46,600,199300,199300,0,0
39,600,196080,199334,3254,1
19,600,194140,199355,5215,1
134,111,195401,199367,3966,1
4,600,193250,199426,6176,0
186,600,198506,199450,944,1
63,600,198536,199450,914,1
164,600,195500,199515,4015,0
125,600,196860,199529,2669,0
55,600,196700,199609,2909,0
51,600,196680,199668,2988,0
21,600,194920,199731,4811,0
58,600,196995,199755,2760,0
162,600,198553,199780,1227,1
40,600,198140,199784,1644,1
50,600,193820,199833,6013,1
195,600,199850,199850,0,0
101,600,195551,199964,4413,1
148,600,195800,199995,4195,0
150,6390,197531,200003,2472,2
45,600,192180,200027,7847,0
175,600,198120,200102,1982,0
98,600,194933,200115,5182,1
142,600,194970,200134,5164,0
